Comentario_Num,Texto_Comentario,Modelo,Respuesta
1,Mi voto es para ella,deepseek,Sentimiento: positivo
1,Mi voto es para ella,gemini,Sentimiento: Positivo
2,Andrea Gonzalez superior a todos en el debate.,deepseek,Sentimiento: positivo
2,Andrea Gonzalez superior a todos en el debate.,gemini,Sentimiento: Positivo
3,Andrea Gonzalez superior a todos en el debate.,deepseek,Sentimiento: positivo
3,Andrea Gonzalez superior a todos en el debate.,gemini,Sentimiento: Positivo
4,Mi voto es para ella,deepseek,Sentimiento: positivo
4,Mi voto es para ella,gemini,Sentimiento: Positivo
5,Mi voto es para ella,deepseek,Sentimiento: positivo
5,Mi voto es para ella,gemini,Sentimiento: Positivo
6,Andrea Gonzalez superior a todos en el debate.,deepseek,Sentimiento: positivo
6,Andrea Gonzalez superior a todos en el debate.,gemini,Sentimiento: Positivo
7,Andrea Gonzalez superior a todos en el debate.,deepseek,Sentimiento: positivo
7,Andrea Gonzalez superior a todos en el debate.,gemini,Sentimiento: Positivo
8,Mi voto es para ella,deepseek,Sentimiento: positivo
8,Mi voto es para ella,gemini,Sentimiento: Positivo
9,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",deepseek,Sentimiento: negativo
9,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",gemini,Sentimiento: Negativo
10,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",deepseek,"Sentimiento: negativo  

Explicación: El comentario expresa escepticismo y preocupación, especialmente con la mención de ""si logra mantenerse con vida"", lo que sugiere un tono de inseguridad o amenaza. Además, el uso de repeticiones y hashtags en mayúsculas puede indicar sarcasmo o crítica hacia la figura mencionada (@DianaSalazarM2). La frase inicial ""Mejor no"" también refuerza una postura negativa o de desaprobación."
10,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",gemini,Sentimiento: Negativo
11,Quien la habrá hecho creer a esa lagartija que es presidenciable,deepseek,Sentimiento: negativo
11,Quien la habrá hecho creer a esa lagartija que es presidenciable,gemini,Sentimiento: Negativo
12,De gana,deepseek,"El comentario ""De gana"" es una expresión coloquial que puede variar en significado dependiendo del contexto y el tono. Generalmente, puede expresar fastidio, desinterés o negatividad, pero también podría usarse de manera neutral o incluso positiva en ciertos contextos (por ejemplo, con ironía o humor).  

**Sin más contexto, la interpretación más común es negativa.**  

**Formato:**  
Sentimiento: negativo"
12,De gana,gemini,Sentimiento: Negativo
13,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",deepseek,Sentimiento: negativo
13,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",gemini,Sentimiento: Negativo
14,De gana,deepseek,"El comentario ""De gana"" es una expresión coloquial que puede variar en significado dependiendo del contexto. Sin embargo, generalmente expresa frustración o molestia, lo que sugiere un sentimiento negativo.  

**Formato:**  
Sentimiento: negativo"
14,De gana,gemini,Sentimiento: Negativo
15,Debería empezar desde la alcaldía de Guayaquil.,deepseek,"**Sentimiento: neutral**  

El comentario no expresa claramente una emoción positiva o negativa, sino que parece ser una sugerencia o propuesta sin carga emocional evidente."
15,Debería empezar desde la alcaldía de Guayaquil.,gemini,Sentimiento: Positivo
16,"No es el tiempo de @AndreGonzalezNa @AndreGonzalezNa @AndreGonzalezNa , deber hacer trayectoria pública primero. Que vaya como Asambleista, Alcalde primero. Así veremos su tenacidad y carácter!",deepseek,Sentimiento: negativo
16,"No es el tiempo de @AndreGonzalezNa @AndreGonzalezNa @AndreGonzalezNa , deber hacer trayectoria pública primero. Que vaya como Asambleista, Alcalde primero. Así veremos su tenacidad y carácter!",gemini,Sentimiento: Negativo
17,"Tome asiento, muchas gracias",deepseek,Sentimiento: positivo
17,"Tome asiento, muchas gracias",gemini,Sentimiento: Positivo
18,Debería empezar desde la alcaldía de Guayaquil.,deepseek,"**Sentimiento: neutral**  

El comentario no expresa claramente una emoción positiva o negativa, sino que parece ser una sugerencia o propuesta sin carga emocional evidente."
18,Debería empezar desde la alcaldía de Guayaquil.,gemini,Sentimiento: Positivo (implica una recomendación o sugerencia de estrategia para iniciar una carrera o aspiración)
19,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",deepseek,"**Sentimiento: negativo**  

El comentario expresa escepticismo y preocupación, especialmente con la mención de ""si logra mantenerse con vida"", lo que sugiere un tono pesimista o de desconfianza hacia la situación política y la seguridad de la fiscal mencionada. Además, el uso de repeticiones y hashtags en mayúsculas podría indicar ironía o frustración."
19,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",gemini,Sentimiento: Negativo
20,"No es el tiempo de @AndreGonzalezNa @AndreGonzalezNa @AndreGonzalezNa , deber hacer trayectoria pública primero. Que vaya como Asambleista, Alcalde primero. Así veremos su tenacidad y carácter!",deepseek,Sentimiento: negativo
20,"No es el tiempo de @AndreGonzalezNa @AndreGonzalezNa @AndreGonzalezNa , deber hacer trayectoria pública primero. Que vaya como Asambleista, Alcalde primero. Así veremos su tenacidad y carácter!",gemini,Sentimiento: Negativo
21,Quien la habrá hecho creer a esa lagartija que es presidenciable,deepseek,Sentimiento: negativo
21,Quien la habrá hecho creer a esa lagartija que es presidenciable,gemini,Sentimiento: Negativo
22,"Tome asiento, muchas gracias",deepseek,Sentimiento: positivo
22,"Tome asiento, muchas gracias",gemini,Sentimiento: Neutral
23,"Quien ha demostrado temple y fortaleza en la persecución del delito es DIANA SALAZAR, esa es la candidata del 2025.",deepseek,Sentimiento: positivo
23,"Quien ha demostrado temple y fortaleza en la persecución del delito es DIANA SALAZAR, esa es la candidata del 2025.",gemini,Sentimiento: Positivo
24,"Quien ha demostrado temple y fortaleza en la persecución del delito es DIANA SALAZAR, esa es la candidata del 2025.",deepseek,Sentimiento: positivo
24,"Quien ha demostrado temple y fortaleza en la persecución del delito es DIANA SALAZAR, esa es la candidata del 2025.",gemini,Sentimiento: Positivo
25,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",deepseek,Sentimiento: negativo
25,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",gemini,Sentimiento: Negativo
26,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",deepseek,"Sentimiento: negativo  

Explicación: El comentario expresa preocupación y escepticismo, especialmente con la mención de ""si logra mantenerse con vida"", lo que sugiere un tono de inseguridad y posible crítica hacia la situación política o la seguridad de la persona mencionada. Además, el uso de repeticiones y hashtags en mayúsculas puede indicar ironía o frustración. Aunque el autor menciona que votó por Villavicencio, el resto del mensaje transmite un tono pesimista o desconfiado."
26,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",gemini,Sentimiento: Negativo
27,Quien la habrá hecho creer a esa lagartija que es presidenciable,deepseek,Sentimiento: negativo
27,Quien la habrá hecho creer a esa lagartija que es presidenciable,gemini,Sentimiento: Negativo
28,De gana,deepseek,"El comentario ""De gana"" es una expresión coloquial que puede variar en significado dependiendo del contexto. Sin embargo, generalmente transmite una actitud de indiferencia, fastidio o falta de interés.  

**Sentimiento: negativo**"
28,De gana,gemini,Sentimiento: Negativo
29,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",deepseek,Sentimiento: negativo
29,"y cual es su virtud? sacar provecho de la muerte de su binomio, nada más",gemini,Sentimiento: Negativo
30,De gana,deepseek,"El comentario ""De gana"" puede tener diferentes interpretaciones dependiendo del contexto, pero generalmente expresa frustración o molestia.  

**Sentimiento: negativo**"
30,De gana,gemini,Sentimiento: Negativo
31,Debería empezar desde la alcaldía de Guayaquil.,deepseek,"**Sentimiento: neutral**  

El comentario no expresa claramente una emoción positiva o negativa, sino que parece ser una sugerencia o propuesta sin carga emocional evidente."
31,Debería empezar desde la alcaldía de Guayaquil.,gemini,Sentimiento: Neutral
32,"No es el tiempo de @AndreGonzalezNa @AndreGonzalezNa @AndreGonzalezNa , deber hacer trayectoria pública primero. Que vaya como Asambleista, Alcalde primero. Así veremos su tenacidad y carácter!",deepseek,Sentimiento: negativo
32,"No es el tiempo de @AndreGonzalezNa @AndreGonzalezNa @AndreGonzalezNa , deber hacer trayectoria pública primero. Que vaya como Asambleista, Alcalde primero. Así veremos su tenacidad y carácter!",gemini,Sentimiento: Negativo
33,"Tome asiento, muchas gracias",deepseek,Sentimiento: positivo
33,"Tome asiento, muchas gracias",gemini,Sentimiento: Positivo
34,Debería empezar desde la alcaldía de Guayaquil.,deepseek,"**Sentimiento: neutral**  

El comentario no expresa claramente una emoción positiva o negativa, sino que parece ser una sugerencia o propuesta sin carga emocional evidente."
34,Debería empezar desde la alcaldía de Guayaquil.,gemini,Sentimiento: Neutral
35,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",deepseek,"Sentimiento: negativo  

Explicación: El comentario expresa escepticismo y preocupación, especialmente con la mención de ""si logra mantenerse con vida"", lo que sugiere un tono pesimista o de desconfianza hacia la situación política y la seguridad de la persona mencionada. Además, el uso de repeticiones y hashtags en mayúsculas puede indicar ironía o crítica implícita."
35,"Mejor no (aunque yo vote por Villavicencio ) 
Será que la Fiscal @DianaSalazarM2 @DianaSalazarM2 @DianaSalazarM2 ( si logra mantenerse con vida )puede lanzar como #PRESIDENTEDELECUADOR #PRESIDENTEDELECUADOR ?",gemini,Sentimiento: Negativo
36,"No es el tiempo de @AndreGonzalezNa @AndreGonzalezNa @AndreGonzalezNa , deber hacer trayectoria pública primero. Que vaya como Asambleista, Alcalde primero. Así veremos su tenacidad y carácter!",deepseek,Sentimiento: negativo
36,"No es el tiempo de @AndreGonzalezNa @AndreGonzalezNa @AndreGonzalezNa , deber hacer trayectoria pública primero. Que vaya como Asambleista, Alcalde primero. Así veremos su tenacidad y carácter!",gemini,Sentimiento: Negativo
37,Quien la habrá hecho creer a esa lagartija que es presidenciable,deepseek,Sentimiento: negativo
37,Quien la habrá hecho creer a esa lagartija que es presidenciable,gemini,Sentimiento: Negativo
38,"Tome asiento, muchas gracias",deepseek,"**Sentimiento: positivo**  

El comentario ""Tome asiento, muchas gracias"" transmite cortesía y gratitud, lo que indica una actitud amable y positiva hacia el interlocutor."
38,"Tome asiento, muchas gracias",gemini,Sentimiento: Positivo
39,"Quien ha demostrado temple y fortaleza en la persecución del delito es DIANA SALAZAR, esa es la candidata del 2025.",deepseek,Sentimiento: positivo
39,"Quien ha demostrado temple y fortaleza en la persecución del delito es DIANA SALAZAR, esa es la candidata del 2025.",gemini,Sentimiento: Positivo
40,"Quien ha demostrado temple y fortaleza en la persecución del delito es DIANA SALAZAR, esa es la candidata del 2025.",deepseek,Sentimiento: positivo
40,"Quien ha demostrado temple y fortaleza en la persecución del delito es DIANA SALAZAR, esa es la candidata del 2025.",gemini,Sentimiento: Positivo
41,La única que vale después de Noboa,deepseek,Sentimiento: positivo
41,La única que vale después de Noboa,gemini,Sentimiento: Positivo
42,Vi su entrevista ... UNA IMBÉCIL COMPLETA,deepseek,Sentimiento: negativo
